ticker,signal_date,exit_date,closed,entry,exit,r0,R,move_pct,peak_pct,peak_R,held,r0_pct,er22,er55,fresh,dd_pct,hi_age,atr_pct,dev,selfvol,tier,mae_R,mae_low_R,mae_atr,mae_low_atr,breadth,regime
FLS,2022-01-18,2022-01-20,1,33.03,31.78,1.0179,-1.228,-3.78,0.0,0.0,2,3.082,0.3594932925337957,0.003970010126529454,2.443,5.69,49,2.429,2.5750747253371915,-0.08719981963941104,strong,-1.228,-1.228,1.558,1.558,0.6024,bull
LMT,2022-01-18,2022-05-18,1,376.54,434.33,23.0467,2.508,15.35,24.61,4.02,84,6.121,0.5010916812271773,0.32055386230056043,0.0,0.0,1,1.611,3.560641809152098,0.07550834992087907,mid,-0.232,-0.486,0.88,1.847,0.6024,bull
AXIA,2022-01-20,2022-04-26,1,6.16,8.07,0.3385,5.642,31.01,48.86,8.892,66,5.495,0.10508471617442798,0.010443853177496824,2.572,8.7,47,3.661,1.9245728633267745,-0.09583368370385181,mid,-0.236,-0.473,0.355,0.71,0.3521,bear
GFI,2022-01-25,2022-04-19,1,11.33,14.35,1.5028,2.01,26.65,47.48,3.58,58,13.264,0.13261644825017851,0.18623123111116535,0.56,2.12,38,3.785,1.6778395030213555,0.16059479853752712,mid,-0.885,-0.985,3.101,3.451,0.2136,bear
LBRT,2022-01-25,2022-05-09,1,12.63,13.89,3.1048,0.406,9.98,39.83,1.62,72,24.582,0.3548387758358911,0.00713110940790108,0.071,0.4,55,5.551,1.6895945955573166,0.10667416017788889,strong,-0.467,-0.702,2.068,3.11,0.2136,bear
PBR,2022-01-27,2022-04-22,1,13.78,13.88,1.8174,0.055,0.73,15.82,1.2,59,13.189,0.5465585012414171,0.38401543799338805,0.0,0.0,1,3.208,4.365440138805229,0.10654809065229309,mid,-0.418,-0.616,1.719,2.534,0.1827,bear
CNP,2022-01-31,2022-02-18,1,28.36,26.61,2.0555,-0.851,-6.17,0.0,0.0,14,7.248,0.1188402463956727,0.14542475945067787,0.242,0.5,31,2.043,1.5223960012642894,0.1278467589692207,mid,-0.851,-0.944,3.021,3.349,0.2529,bear
MA,2022-02-01,2022-03-01,1,392.06,344.48,57.1039,-0.833,-12.14,1.2,0.082,19,14.565,0.23777463371661506,0.1055872414637053,0.0,0.0,1,3.57,1.9426439890390697,0.2638734707432038,mid,-0.833,-0.89,3.4,3.633,0.3138,bear
MGY,2022-02-01,2022-05-10,1,22.6,22.27,5.3608,-0.062,-1.46,16.68,0.703,68,23.72,0.29279998779296873,0.08631580694450106,0.0,0.0,11,5.271,1.4161194955146623,0.1939609414020662,strong,-0.464,-0.515,2.09,2.317,0.3138,bear
V,2022-02-01,2022-03-01,1,232.36,208.97,29.6509,-0.789,-10.07,1.32,0.103,19,12.761,0.20336845459659947,0.12951598101784612,0.0,0.0,2,3.095,2.462389895541564,0.25603039695917573,mid,-0.789,-1.042,3.253,4.298,0.3138,bear
