ticker,exchange,benchmark,major,sub
KNOP,NYSE,SEA,航运,海运
LBRT,NYSE,XLE,油气,油气设备服务
LNG,NYSE,XLE,油气,油气中游
MNR,NYSE,XLE,油气,油气勘探开发
MPLX,NYSE,AMLP,油气,油气中游
MTDR,NYSE,XLE,油气,油气勘探开发
NAT,NYSE,SEA,航运,海运
NE,NYSE,XLE,油气,油气设备服务
NOG,NYSE,XLE,油气,油气勘探开发
OKE,NYSE,AMLP,油气,油气中游
OVV,NYSE,XLE,油气,油气勘探开发
OXY,NYSE,XLE,油气,油气勘探开发
PAA,NASDAQ,AMLP,油气,油气中游
PARR,NYSE,XLE,油气,炼油
PBA,NYSE,AMLP,油气,油气中游
PBF,NYSE,XLE,油气,炼油
PBR,NYSE,XLE,油气,综合油气
PR,NYSE,XLE,油气,油气勘探开发
PTEN,NASDAQ,XLE,油气,油气勘探开发
SBLK,NASDAQ,SEA,航运,海运
SHEL,NYSE,XLE,油气,综合油气
SLB,NYSE,XLE,油气,油气设备服务
STNG,NYSE,SEA,航运,海运
SU,NYSE,XLE,油气,综合油气
SUN,NYSE,XLE,油气,炼油
TALO,NYSE,XLE,油气,油气勘探开发
TDW,NYSE,XLE,油气,油气设备服务
TK,NYSE,SEA,航运,海运
TRGP,NYSE,AMLP,油气,油气中游
TRMD,NASDAQ,SEA,航运,海运
TRP,NYSE,AMLP,油气,油气中游
TTE,NYSE,XLE,油气,油气中游
USAC,NYSE,AMLP,油气,油气中游
VG,NYSE,XLE,油气,油气中游
VLO,NYSE,XLE,油气,炼油
WBI,NYSE,XLE,油气,油气设备服务
WDS,NYSE,XLE,油气,油气勘探开发
WES,NYSE,AMLP,油气,油气中游
WMB,NYSE,AMLP,油气,油气中游
XOM,NYSE,XLE,油气,综合油气
YPF,NYSE,XLE,油气,综合油气
AES,NYSE,XLU,公用电力,再生能源
AXIA,NYSE,XLU,公用电力,可再生能源
BKH,NYSE,XLU,公用电力,天然气/电力
BWXT,NYSE,ITA,航空国防,航空航天国防
CCJ,NYSE,URA,矿业,铀
CEG,NASDAQ,XLU,公用电力,核电
CNP,NYSE,XLU,公用电力,电力
CWEN,NYSE,XLU,公用电力,电力
DUK,NYSE,XLU,公用电力,电力
ENPH,NASDAQ,TAN,公用电力,太阳能
ES,NYSE,XLU,公用电力,电力
ETR,NYSE,XLU,公用电力,电力
EVRG,NASDAQ,XLU,公用电力,电力
EXC,NASDAQ,XLU,公用电力,电力
FE,NYSE,XLU,公用电力,电力
FLNC,NASDAQ,GRID,公用电力,电力
FSLR,NASDAQ,TAN,公用电力,太阳能
GEV,NYSE,GRID,公用电力,电气设备
MWH,NASDAQ,TAN,公用电力,太阳能
NI,NYSE,XLU,公用电力,天然气/电力
NJR,NYSE,XLU,公用电力,天然气
NWE,NASDAQ,XLU,公用电力,天然气/电力
NXT,NASDAQ,TAN,公用电力,太阳能
OGE,NYSE,XLU,公用电力,电力
OKLO,NYSE,NLR,公用电力,核能
ORA,NYSE,XLU,公用电力,再生能源
PCG,NYSE,XLU,公用电力,电力
PNW,NYSE,XLU,公用电力,电力
POR,NYSE,XLU,公用电力,电力
PPL,NYSE,XLU,公用电力,电力
SEDG,NASDAQ,TAN,公用电力,太阳能
SMR,NYSE,NLR,公用电力,核能
SO,NYSE,XLU,公用电力,电力
SRE,NYSE,XLU,公用电力,电力
TE,NYSE,TAN,公用电力,太阳能
XE,NASDAQ,NLR,公用电力,核能
AA,NYSE,XME,矿业,铝加工
AEM,NYSE,GDX,矿业,金
AG,NYSE,SIL,矿业,银
AGI,NYSE,GDX,矿业,金
ALM,NASDAQ,XME,矿业,钨矿
AU,NYSE,GDX,矿业,金
AUGO,NASDAQ,GDX,矿业,金
B,NYSE,GDX,矿业,金
BVN,NYSE,GDX,矿业,金
CDE,NYSE,SIL,矿业,银
CGAU,NYSE,GDX,矿业,金
EQX,NYSEAMERICAN,GDX,矿业,金
EXK,NYSE,SIL,矿业,银
FCX,NYSE,COPX,矿业,铜
GFI,NYSE,GDX,矿业,金
HBM,NYSE,COPX,矿业,铜
HCC,NYSE,XME,矿业,焦煤
IAG,NYSE,GDX,矿业,金
NEM,NYSE,GDX,矿业,金
NXE,NYSE,URA,矿业,铀
OR,NYSE,GDX,矿业,金
PAAS,NYSE,SIL,矿业,银
SSRM,NASDAQ,SIL,矿业,银
TECK,NYSE,COPX,矿业,铜
TFPM,NYSE,GDX,矿业,金
UEC,NYSEAMERICAN,URA,矿业,铀
UUUU,NYSEAMERICAN,URA,矿业,铀
VALE,NYSE,XME,矿业,铁矿
WPM,NYSE,GDX,矿业,金
ANDG,NYSE,XLF,金融地产,个性化服务
BBVA,NYSE,XLF,金融地产,银行
MRX,NASDAQ,XLF,金融地产,资本市场
XP,NASDAQ,XLF,金融地产,资本市场
NDAQ,NASDAQ,XLF,金融地产,资本市场
UBS,NYSE,XLF,金融地产,银行
AGRO,NYSE,MOO,基础材料,农业
ALB,NYSE,XLB,基础材料,锂电池
AMPX,NYSE,XLB,基础材料,锂电池
APD,NYSE,XLB,基础材料,化工
AVNT,NYSE,XLB,基础材料,化工
BCPC,NASDAQ,XLB,基础材料,化工
CAT,NYSE,XLI,工业,工业机械
CENX,NASDAQ,XLB,基础材料,铝
CF,NYSE,MOO,基础材料,化肥
CGNX,NASDAQ,XLI,工业,工业设备
